CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,624,574,0,
53,2,488,438,0,
106,3,231,181,0,
159,4,337,287,0,
212,5,222,172,0,
265,6,130,80,0,
318,7,317,267,0,
371,8,439,389,0,
424,9,942,892,0,
477,1,574,524,0,
530,2,438,388,0,
583,3,181,131,0,
636,4,287,237,0,
689,5,172,122,0,
742,6,80,30,0,
795,7,267,217,0,
848,8,389,339,0,
901,9,892,842,0,
954,1,524,474,0,
1007,2,388,338,0,
1060,3,131,81,0,
1113,4,237,187,0,
1166,5,122,72,0,
1219,6,30,0,1249,
1252,7,217,167,0,
1305,8,339,289,0,
1358,9,842,792,0,
1411,1,474,424,0,
1464,2,338,288,0,
1517,3,81,31,0,
1570,4,187,137,0,
1623,5,72,22,0,
1676,7,167,117,0,
1729,8,289,239,0,
1782,9,792,742,0,
1835,1,424,374,0,
1888,2,288,238,0,
1941,3,31,0,1972,
1975,4,137,87,0,
2028,5,22,0,2050,
2053,7,117,67,0,
2106,8,239,189,0,
2159,9,742,692,0,
2212,1,374,324,0,
2265,2,238,188,0,
2318,4,87,37,0,
2371,7,67,17,0,
2424,8,189,139,0,
2477,9,692,642,0,
2530,1,324,274,0,
2583,2,188,138,0,
2636,4,37,0,2673,
2676,7,17,0,2693,
2696,8,139,89,0,
2749,9,642,592,0,
2802,1,274,224,0,
2855,2,138,88,0,
2908,8,89,39,0,
2961,9,592,542,0,
3014,1,224,174,0,
3067,2,88,38,0,
3120,8,39,0,3159,
3162,9,542,492,0,
3215,1,174,124,0,
3268,2,38,0,3306,
3309,9,492,442,0,
3362,1,124,74,0,
3415,9,442,392,0,
3468,1,74,24,0,
3521,9,392,342,0,
3574,1,24,0,3598,
3601,9,342,292,0,
3654,9,292,242,0,
3707,9,242,192,0,
3760,9,192,142,0,
3813,9,142,92,0,
3866,9,92,42,0,
3919,9,42,0,3961,
