CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,585,535,0,
53,2,972,922,0,
106,3,992,942,0,
159,4,633,583,0,
212,5,827,777,0,
265,6,306,256,0,
318,7,422,372,0,
371,8,615,565,0,
424,9,695,645,0,
477,10,702,652,0,
530,11,942,892,0,
583,12,969,919,0,
636,13,955,905,0,
689,14,764,714,0,
742,15,589,539,0,
795,16,103,53,0,
848,17,364,314,0,
901,18,346,296,0,
954,19,271,221,0,
1007,1,535,485,0,
1060,2,922,872,0,
1113,3,942,892,0,
1166,4,583,533,0,
1219,5,777,727,0,
1272,6,256,206,0,
1325,7,372,322,0,
1378,8,565,515,0,
1431,9,645,595,0,
1484,10,652,602,0,
1537,11,892,842,0,
1590,12,919,869,0,
1643,13,905,855,0,
1696,14,714,664,0,
1749,15,539,489,0,
1802,16,53,3,0,
1855,17,314,264,0,
1908,18,296,246,0,
1961,19,221,171,0,
2014,1,485,435,0,
2067,2,872,822,0,
2120,3,892,842,0,
2173,4,533,483,0,
2226,5,727,677,0,
2279,6,206,156,0,
2332,7,322,272,0,
2385,8,515,465,0,
2438,9,595,545,0,
2491,10,602,552,0,
2544,11,842,792,0,
2597,12,869,819,0,
2650,13,855,805,0,
2703,14,664,614,0,
2756,15,489,439,0,
2809,16,3,0,2812,
2815,17,264,214,0,
2868,18,246,196,0,
2921,19,171,121,0,
2974,1,435,385,0,
3027,2,822,772,0,
3080,3,842,792,0,
3133,4,483,433,0,
3186,5,677,627,0,
3239,6,156,106,0,
3292,7,272,222,0,
3345,8,465,415,0,
3398,9,545,495,0,
3451,10,552,502,0,
3504,11,792,742,0,
3557,12,819,769,0,
3610,13,805,755,0,
3663,14,614,564,0,
3716,15,439,389,0,
3769,17,214,164,0,
3822,18,196,146,0,
3875,19,121,71,0,
3928,1,385,335,0,
3981,2,772,722,0,
4034,3,792,742,0,
4087,4,433,383,0,
4140,5,627,577,0,
4193,6,106,56,0,
4246,7,222,172,0,
4299,8,415,365,0,
4352,9,495,445,0,
4405,10,502,452,0,
4458,11,742,692,0,
4511,12,769,719,0,
4564,13,755,705,0,
4617,14,564,514,0,
4670,15,389,339,0,
4723,17,164,114,0,
4776,18,146,96,0,
4829,19,71,21,0,
4882,1,335,285,0,
4935,2,722,672,0,
4988,3,742,692,0,
5041,4,383,333,0,
5094,5,577,527,0,
5147,6,56,6,0,
5200,7,172,122,0,
5253,8,365,315,0,
5306,9,445,395,0,
5359,10,452,402,0,
5412,11,692,642,0,
5465,12,719,669,0,
5518,13,705,655,0,
5571,14,514,464,0,
5624,15,339,289,0,
5677,17,114,64,0,
5730,18,96,46,0,
5783,19,21,0,5804,
5807,1,285,235,0,
5860,2,672,622,0,
5913,3,692,642,0,
5966,4,333,283,0,
6019,5,527,477,0,
6072,6,6,0,6078,
6081,7,122,72,0,
6134,8,315,265,0,
6187,9,395,345,0,
6240,10,402,352,0,
6293,11,642,592,0,
6346,12,669,619,0,
6399,13,655,605,0,
6452,14,464,414,0,
6505,15,289,239,0,
6558,17,64,14,0,
6611,18,46,0,6657,
6660,1,235,185,0,
6713,2,622,572,0,
6766,3,642,592,0,
6819,4,283,233,0,
6872,5,477,427,0,
6925,7,72,22,0,
6978,8,265,215,0,
7031,9,345,295,0,
7084,10,352,302,0,
7137,11,592,542,0,
7190,12,619,569,0,
7243,13,605,555,0,
7296,14,414,364,0,
7349,15,239,189,0,
7402,17,14,0,7416,
7419,1,185,135,0,
7472,2,572,522,0,
7525,3,592,542,0,
7578,4,233,183,0,
7631,5,427,377,0,
7684,7,22,0,7706,
7709,8,215,165,0,
7762,9,295,245,0,
7815,10,302,252,0,
7868,11,542,492,0,
7921,12,569,519,0,
7974,13,555,505,0,
8027,14,364,314,0,
8080,15,189,139,0,
8133,1,135,85,0,
8186,2,522,472,0,
8239,3,542,492,0,
8292,4,183,133,0,
8345,5,377,327,0,
8398,8,165,115,0,
8451,9,245,195,0,
8504,10,252,202,0,
8557,11,492,442,0,
8610,12,519,469,0,
8663,13,505,455,0,
8716,14,314,264,0,
8769,15,139,89,0,
8822,1,85,35,0,
8875,2,472,422,0,
8928,3,492,442,0,
8981,4,133,83,0,
9034,5,327,277,0,
9087,8,115,65,0,
9140,9,195,145,0,
9193,10,202,152,0,
9246,11,442,392,0,
9299,12,469,419,0,
9352,13,455,405,0,
9405,14,264,214,0,
9458,15,89,39,0,
9511,1,35,0,9546,
9549,2,422,372,0,
9602,3,442,392,0,
9655,4,83,33,0,
9708,5,277,227,0,
9761,8,65,15,0,
9814,9,145,95,0,
9867,10,152,102,0,
9920,11,392,342,0,
9973,12,419,369,0,
10026,13,405,355,0,
10079,14,214,164,0,
10132,15,39,0,10171,
10174,2,372,322,0,
10227,3,392,342,0,
10280,4,33,0,10313,
10316,5,227,177,0,
10369,8,15,0,10384,
10387,9,95,45,0,
10440,10,102,52,0,
10493,11,342,292,0,
10546,12,369,319,0,
10599,13,355,305,0,
10652,14,164,114,0,
10705,2,322,272,0,
10758,3,342,292,0,
10811,5,177,127,0,
10864,9,45,0,10909,
10912,10,52,2,0,
10965,11,292,242,0,
11018,12,319,269,0,
11071,13,305,255,0,
11124,14,114,64,0,
11177,2,272,222,0,
11230,3,292,242,0,
11283,5,127,77,0,
11336,10,2,0,11338,
11341,11,242,192,0,
11394,12,269,219,0,
11447,13,255,205,0,
11500,14,64,14,0,
11553,2,222,172,0,
11606,3,242,192,0,
11659,5,77,27,0,
11712,11,192,142,0,
11765,12,219,169,0,
11818,13,205,155,0,
11871,14,14,0,11885,
11888,2,172,122,0,
11941,3,192,142,0,
11994,5,27,0,12021,
12024,11,142,92,0,
12077,12,169,119,0,
12130,13,155,105,0,
12183,2,122,72,0,
12236,3,142,92,0,
12289,11,92,42,0,
12342,12,119,69,0,
12395,13,105,55,0,
12448,2,72,22,0,
12501,3,92,42,0,
12554,11,42,0,12596,
12599,12,69,19,0,
12652,13,55,5,0,
12705,2,22,0,12727,
12730,3,42,0,12772,
12775,12,19,0,12794,
12797,13,5,0,12802,
