CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,3,123,0,123
123,7,204,0,327
327,4,209,0,536
536,2,222,0,758
758,8,308,0,1066
1066,9,333,0,1399
1399,1,596,0,1995
1995,5,609,0,2604
2604,6,814,0,3418
