CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,624,0,624
624,2,488,0,1112
1112,3,231,0,1343
1343,4,337,0,1680
1680,5,222,0,1902
1902,6,130,0,2032
2032,7,317,0,2349
2349,8,439,0,2788
2788,9,942,0,3730
