CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,585,560,0,
28,2,972,947,0,
56,3,992,967,0,
84,4,633,608,0,
112,5,827,802,0,
140,6,306,281,0,
168,7,422,397,0,
196,8,615,590,0,
224,9,695,670,0,
252,10,702,677,0,
280,11,942,917,0,
308,12,969,944,0,
336,13,955,930,0,
364,14,764,739,0,
392,15,589,564,0,
420,16,103,78,0,
448,17,364,339,0,
476,18,346,321,0,
504,19,271,246,0,
532,1,560,535,0,
560,2,947,922,0,
588,3,967,942,0,
616,4,608,583,0,
644,5,802,777,0,
672,6,281,256,0,
700,7,397,372,0,
728,8,590,565,0,
756,9,670,645,0,
784,10,677,652,0,
812,11,917,892,0,
840,12,944,919,0,
868,13,930,905,0,
896,14,739,714,0,
924,15,564,539,0,
952,16,78,53,0,
980,17,339,314,0,
1008,18,321,296,0,
1036,19,246,221,0,
1064,1,535,510,0,
1092,2,922,897,0,
1120,3,942,917,0,
1148,4,583,558,0,
1176,5,777,752,0,
1204,6,256,231,0,
1232,7,372,347,0,
1260,8,565,540,0,
1288,9,645,620,0,
1316,10,652,627,0,
1344,11,892,867,0,
1372,12,919,894,0,
1400,13,905,880,0,
1428,14,714,689,0,
1456,15,539,514,0,
1484,16,53,28,0,
1512,17,314,289,0,
1540,18,296,271,0,
1568,19,221,196,0,
1596,1,510,485,0,
1624,2,897,872,0,
1652,3,917,892,0,
1680,4,558,533,0,
1708,5,752,727,0,
1736,6,231,206,0,
1764,7,347,322,0,
1792,8,540,515,0,
1820,9,620,595,0,
1848,10,627,602,0,
1876,11,867,842,0,
1904,12,894,869,0,
1932,13,880,855,0,
1960,14,689,664,0,
1988,15,514,489,0,
2016,16,28,3,0,
2044,17,289,264,0,
2072,18,271,246,0,
2100,19,196,171,0,
2128,1,485,460,0,
2156,2,872,847,0,
2184,3,892,867,0,
2212,4,533,508,0,
2240,5,727,702,0,
2268,6,206,181,0,
2296,7,322,297,0,
2324,8,515,490,0,
2352,9,595,570,0,
2380,10,602,577,0,
2408,11,842,817,0,
2436,12,869,844,0,
2464,13,855,830,0,
2492,14,664,639,0,
2520,15,489,464,0,
2548,16,3,0,2551,
2554,17,264,239,0,
2582,18,246,221,0,
2610,19,171,146,0,
2638,1,460,435,0,
2666,2,847,822,0,
2694,3,867,842,0,
2722,4,508,483,0,
2750,5,702,677,0,
2778,6,181,156,0,
2806,7,297,272,0,
2834,8,490,465,0,
2862,9,570,545,0,
2890,10,577,552,0,
2918,11,817,792,0,
2946,12,844,819,0,
2974,13,830,805,0,
3002,14,639,614,0,
3030,15,464,439,0,
3058,17,239,214,0,
3086,18,221,196,0,
3114,19,146,121,0,
3142,1,435,410,0,
3170,2,822,797,0,
3198,3,842,817,0,
3226,4,483,458,0,
3254,5,677,652,0,
3282,6,156,131,0,
3310,7,272,247,0,
3338,8,465,440,0,
3366,9,545,520,0,
3394,10,552,527,0,
3422,11,792,767,0,
3450,12,819,794,0,
3478,13,805,780,0,
3506,14,614,589,0,
3534,15,439,414,0,
3562,17,214,189,0,
3590,18,196,171,0,
3618,19,121,96,0,
3646,1,410,385,0,
3674,2,797,772,0,
3702,3,817,792,0,
3730,4,458,433,0,
3758,5,652,627,0,
3786,6,131,106,0,
3814,7,247,222,0,
3842,8,440,415,0,
3870,9,520,495,0,
3898,10,527,502,0,
3926,11,767,742,0,
3954,12,794,769,0,
3982,13,780,755,0,
4010,14,589,564,0,
4038,15,414,389,0,
4066,17,189,164,0,
4094,18,171,146,0,
4122,19,96,71,0,
4150,1,385,360,0,
4178,2,772,747,0,
4206,3,792,767,0,
4234,4,433,408,0,
4262,5,627,602,0,
4290,6,106,81,0,
4318,7,222,197,0,
4346,8,415,390,0,
4374,9,495,470,0,
4402,10,502,477,0,
4430,11,742,717,0,
4458,12,769,744,0,
4486,13,755,730,0,
4514,14,564,539,0,
4542,15,389,364,0,
4570,17,164,139,0,
4598,18,146,121,0,
4626,19,71,46,0,
4654,1,360,335,0,
4682,2,747,722,0,
4710,3,767,742,0,
4738,4,408,383,0,
4766,5,602,577,0,
4794,6,81,56,0,
4822,7,197,172,0,
4850,8,390,365,0,
4878,9,470,445,0,
4906,10,477,452,0,
4934,11,717,692,0,
4962,12,744,719,0,
4990,13,730,705,0,
5018,14,539,514,0,
5046,15,364,339,0,
5074,17,139,114,0,
5102,18,121,96,0,
5130,19,46,21,0,
5158,1,335,310,0,
5186,2,722,697,0,
5214,3,742,717,0,
5242,4,383,358,0,
5270,5,577,552,0,
5298,6,56,31,0,
5326,7,172,147,0,
5354,8,365,340,0,
5382,9,445,420,0,
5410,10,452,427,0,
5438,11,692,667,0,
5466,12,719,694,0,
5494,13,705,680,0,
5522,14,514,489,0,
5550,15,339,314,0,
5578,17,114,89,0,
5606,18,96,71,0,
5634,19,21,0,5655,
5658,1,310,285,0,
5686,2,697,672,0,
5714,3,717,692,0,
5742,4,358,333,0,
5770,5,552,527,0,
5798,6,31,6,0,
5826,7,147,122,0,
5854,8,340,315,0,
5882,9,420,395,0,
5910,10,427,402,0,
5938,11,667,642,0,
5966,12,694,669,0,
5994,13,680,655,0,
6022,14,489,464,0,
6050,15,314,289,0,
6078,17,89,64,0,
6106,18,71,46,0,
6134,1,285,260,0,
6162,2,672,647,0,
6190,3,692,667,0,
6218,4,333,308,0,
6246,5,527,502,0,
6274,6,6,0,6280,
6283,7,122,97,0,
6311,8,315,290,0,
6339,9,395,370,0,
6367,10,402,377,0,
6395,11,642,617,0,
6423,12,669,644,0,
6451,13,655,630,0,
6479,14,464,439,0,
6507,15,289,264,0,
6535,17,64,39,0,
6563,18,46,21,0,
6591,1,260,235,0,
6619,2,647,622,0,
6647,3,667,642,0,
6675,4,308,283,0,
6703,5,502,477,0,
6731,7,97,72,0,
6759,8,290,265,0,
6787,9,370,345,0,
6815,10,377,352,0,
6843,11,617,592,0,
6871,12,644,619,0,
6899,13,630,605,0,
6927,14,439,414,0,
6955,15,264,239,0,
6983,17,39,14,0,
7011,18,21,0,7032,
7035,1,235,210,0,
7063,2,622,597,0,
7091,3,642,617,0,
7119,4,283,258,0,
7147,5,477,452,0,
7175,7,72,47,0,
7203,8,265,240,0,
7231,9,345,320,0,
7259,10,352,327,0,
7287,11,592,567,0,
7315,12,619,594,0,
7343,13,605,580,0,
7371,14,414,389,0,
7399,15,239,214,0,
7427,17,14,0,7441,
7444,1,210,185,0,
7472,2,597,572,0,
7500,3,617,592,0,
7528,4,258,233,0,
7556,5,452,427,0,
7584,7,47,22,0,
7612,8,240,215,0,
7640,9,320,295,0,
7668,10,327,302,0,
7696,11,567,542,0,
7724,12,594,569,0,
7752,13,580,555,0,
7780,14,389,364,0,
7808,15,214,189,0,
7836,1,185,160,0,
7864,2,572,547,0,
7892,3,592,567,0,
7920,4,233,208,0,
7948,5,427,402,0,
7976,7,22,0,7998,
8001,8,215,190,0,
8029,9,295,270,0,
8057,10,302,277,0,
8085,11,542,517,0,
8113,12,569,544,0,
8141,13,555,530,0,
8169,14,364,339,0,
8197,15,189,164,0,
8225,1,160,135,0,
8253,2,547,522,0,
8281,3,567,542,0,
8309,4,208,183,0,
8337,5,402,377,0,
8365,8,190,165,0,
8393,9,270,245,0,
8421,10,277,252,0,
8449,11,517,492,0,
8477,12,544,519,0,
8505,13,530,505,0,
8533,14,339,314,0,
8561,15,164,139,0,
8589,1,135,110,0,
8617,2,522,497,0,
8645,3,542,517,0,
8673,4,183,158,0,
8701,5,377,352,0,
8729,8,165,140,0,
8757,9,245,220,0,
8785,10,252,227,0,
8813,11,492,467,0,
8841,12,519,494,0,
8869,13,505,480,0,
8897,14,314,289,0,
8925,15,139,114,0,
8953,1,110,85,0,
8981,2,497,472,0,
9009,3,517,492,0,
9037,4,158,133,0,
