CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
9065,5,352,327,0,
9093,8,140,115,0,
9121,9,220,195,0,
9149,10,227,202,0,
9177,11,467,442,0,
9205,12,494,469,0,
9233,13,480,455,0,
9261,14,289,264,0,
9289,15,114,89,0,
9317,1,85,60,0,
9345,2,472,447,0,
9373,3,492,467,0,
9401,4,133,108,0,
9429,5,327,302,0,
9457,8,115,90,0,
9485,9,195,170,0,
9513,10,202,177,0,
9541,11,442,417,0,
9569,12,469,444,0,
9597,13,455,430,0,
9625,14,264,239,0,
9653,15,89,64,0,
9681,1,60,35,0,
9709,2,447,422,0,
9737,3,467,442,0,
9765,4,108,83,0,
9793,5,302,277,0,
9821,8,90,65,0,
9849,9,170,145,0,
9877,10,177,152,0,
9905,11,417,392,0,
9933,12,444,419,0,
9961,13,430,405,0,
9989,14,239,214,0,
10017,15,64,39,0,
10045,1,35,10,0,
10073,2,422,397,0,
10101,3,442,417,0,
10129,4,83,58,0,
10157,5,277,252,0,
10185,8,65,40,0,
10213,9,145,120,0,
10241,10,152,127,0,
10269,11,392,367,0,
10297,12,419,394,0,
10325,13,405,380,0,
10353,14,214,189,0,
10381,15,39,14,0,
10409,1,10,0,10419,
10422,2,397,372,0,
10450,3,417,392,0,
10478,4,58,33,0,
10506,5,252,227,0,
10534,8,40,15,0,
10562,9,120,95,0,
10590,10,127,102,0,
10618,11,367,342,0,
10646,12,394,369,0,
10674,13,380,355,0,
10702,14,189,164,0,
10730,15,14,0,10744,
10747,2,372,347,0,
10775,3,392,367,0,
10803,4,33,8,0,
10831,5,227,202,0,
10859,8,15,0,10874,
10877,9,95,70,0,
10905,10,102,77,0,
10933,11,342,317,0,
10961,12,369,344,0,
10989,13,355,330,0,
11017,14,164,139,0,
11045,2,347,322,0,
11073,3,367,342,0,
11101,4,8,0,11109,
11112,5,202,177,0,
11140,9,70,45,0,
11168,10,77,52,0,
11196,11,317,292,0,
11224,12,344,319,0,
11252,13,330,305,0,
11280,14,139,114,0,
11308,2,322,297,0,
11336,3,342,317,0,
11364,5,177,152,0,
11392,9,45,20,0,
11420,10,52,27,0,
11448,11,292,267,0,
11476,12,319,294,0,
11504,13,305,280,0,
11532,14,114,89,0,
11560,2,297,272,0,
11588,3,317,292,0,
11616,5,152,127,0,
11644,9,20,0,11664,
11667,10,27,2,0,
11695,11,267,242,0,
11723,12,294,269,0,
11751,13,280,255,0,
11779,14,89,64,0,
11807,2,272,247,0,
11835,3,292,267,0,
11863,5,127,102,0,
11891,10,2,0,11893,
11896,11,242,217,0,
11924,12,269,244,0,
11952,13,255,230,0,
11980,14,64,39,0,
12008,2,247,222,0,
12036,3,267,242,0,
12064,5,102,77,0,
12092,11,217,192,0,
12120,12,244,219,0,
12148,13,230,205,0,
12176,14,39,14,0,
12204,2,222,197,0,
12232,3,242,217,0,
12260,5,77,52,0,
12288,11,192,167,0,
12316,12,219,194,0,
12344,13,205,180,0,
12372,14,14,0,12386,
12389,2,197,172,0,
12417,3,217,192,0,
12445,5,52,27,0,
12473,11,167,142,0,
12501,12,194,169,0,
12529,13,180,155,0,
12557,2,172,147,0,
12585,3,192,167,0,
12613,5,27,2,0,
12641,11,142,117,0,
12669,12,169,144,0,
12697,13,155,130,0,
12725,2,147,122,0,
12753,3,167,142,0,
12781,5,2,0,12783,
12786,11,117,92,0,
12814,12,144,119,0,
12842,13,130,105,0,
12870,2,122,97,0,
12898,3,142,117,0,
12926,11,92,67,0,
12954,12,119,94,0,
12982,13,105,80,0,
13010,2,97,72,0,
13038,3,117,92,0,
13066,11,67,42,0,
13094,12,94,69,0,
13122,13,80,55,0,
13150,2,72,47,0,
13178,3,92,67,0,
13206,11,42,17,0,
13234,12,69,44,0,
13262,13,55,30,0,
13290,2,47,22,0,
13318,3,67,42,0,
13346,11,17,0,13363,
13366,12,44,19,0,
13394,13,30,5,0,
13422,2,22,0,13444,
13447,3,42,17,0,
13475,12,19,0,13494,
13497,13,5,0,13502,
13505,3,17,0,13522,
