CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,6,130,0,130
130,5,222,0,352
352,3,231,0,583
583,7,317,0,900
900,4,337,0,1237
1237,8,439,0,1676
1676,2,488,0,2164
2164,1,624,0,2788
2788,9,942,0,3730
