CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,16,103,0,103
103,19,271,0,374
374,6,306,0,680
680,18,346,0,1026
1026,17,364,0,1390
1390,7,422,0,1812
1812,1,585,0,2397
2397,15,589,0,2986
2986,8,615,0,3601
3601,4,633,0,4234
4234,9,695,0,4929
4929,10,702,0,5631
5631,14,764,0,6395
6395,5,827,0,7222
7222,11,942,0,8164
8164,13,955,0,9119
9119,12,969,0,10088
10088,2,972,0,11060
11060,3,992,0,12052
