CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,624,599,0,
28,2,488,463,0,
56,3,231,206,0,
84,4,337,312,0,
112,5,222,197,0,
140,6,130,105,0,
168,7,317,292,0,
196,8,439,414,0,
224,9,942,917,0,
252,1,599,574,0,
280,2,463,438,0,
308,3,206,181,0,
336,4,312,287,0,
364,5,197,172,0,
392,6,105,80,0,
420,7,292,267,0,
448,8,414,389,0,
476,9,917,892,0,
504,1,574,549,0,
532,2,438,413,0,
560,3,181,156,0,
588,4,287,262,0,
616,5,172,147,0,
644,6,80,55,0,
672,7,267,242,0,
700,8,389,364,0,
728,9,892,867,0,
756,1,549,524,0,
784,2,413,388,0,
812,3,156,131,0,
840,4,262,237,0,
868,5,147,122,0,
896,6,55,30,0,
924,7,242,217,0,
952,8,364,339,0,
980,9,867,842,0,
1008,1,524,499,0,
1036,2,388,363,0,
1064,3,131,106,0,
1092,4,237,212,0,
1120,5,122,97,0,
1148,6,30,5,0,
1176,7,217,192,0,
1204,8,339,314,0,
1232,9,842,817,0,
1260,1,499,474,0,
1288,2,363,338,0,
1316,3,106,81,0,
1344,4,212,187,0,
1372,5,97,72,0,
1400,6,5,0,1405,
1408,7,192,167,0,
1436,8,314,289,0,
1464,9,817,792,0,
1492,1,474,449,0,
1520,2,338,313,0,
1548,3,81,56,0,
1576,4,187,162,0,
1604,5,72,47,0,
1632,7,167,142,0,
1660,8,289,264,0,
1688,9,792,767,0,
1716,1,449,424,0,
1744,2,313,288,0,
1772,3,56,31,0,
1800,4,162,137,0,
1828,5,47,22,0,
1856,7,142,117,0,
1884,8,264,239,0,
1912,9,767,742,0,
1940,1,424,399,0,
1968,2,288,263,0,
1996,3,31,6,0,
2024,4,137,112,0,
2052,5,22,0,2074,
2077,7,117,92,0,
2105,8,239,214,0,
2133,9,742,717,0,
2161,1,399,374,0,
2189,2,263,238,0,
2217,3,6,0,2223,
2226,4,112,87,0,
2254,7,92,67,0,
2282,8,214,189,0,
2310,9,717,692,0,
2338,1,374,349,0,
2366,2,238,213,0,
2394,4,87,62,0,
2422,7,67,42,0,
2450,8,189,164,0,
2478,9,692,667,0,
2506,1,349,324,0,
2534,2,213,188,0,
2562,4,62,37,0,
2590,7,42,17,0,
2618,8,164,139,0,
2646,9,667,642,0,
2674,1,324,299,0,
2702,2,188,163,0,
2730,4,37,12,0,
2758,7,17,0,2775,
2778,8,139,114,0,
2806,9,642,617,0,
2834,1,299,274,0,
2862,2,163,138,0,
2890,4,12,0,2902,
2905,8,114,89,0,
2933,9,617,592,0,
2961,1,274,249,0,
2989,2,138,113,0,
3017,8,89,64,0,
3045,9,592,567,0,
3073,1,249,224,0,
3101,2,113,88,0,
3129,8,64,39,0,
3157,9,567,542,0,
3185,1,224,199,0,
3213,2,88,63,0,
3241,8,39,14,0,
3269,9,542,517,0,
3297,1,199,174,0,
3325,2,63,38,0,
3353,8,14,0,3367,
3370,9,517,492,0,
3398,1,174,149,0,
3426,2,38,13,0,
3454,9,492,467,0,
3482,1,149,124,0,
3510,2,13,0,3523,
3526,9,467,442,0,
3554,1,124,99,0,
3582,9,442,417,0,
3610,1,99,74,0,
3638,9,417,392,0,
3666,1,74,49,0,
3694,9,392,367,0,
3722,1,49,24,0,
3750,9,367,342,0,
3778,1,24,0,3802,
3805,9,342,317,0,
3833,9,317,292,0,
3861,9,292,267,0,
3889,9,267,242,0,
3917,9,242,217,0,
3945,9,217,192,0,
3973,9,192,167,0,
4001,9,167,142,0,
4029,9,142,117,0,
4057,9,117,92,0,
4085,9,92,67,0,
4113,9,67,42,0,
4141,9,42,17,0,
4169,9,17,0,4186,
