CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,931,906,0,
28,2,991,966,0,
56,3,683,658,0,
84,4,404,379,0,
112,5,929,904,0,
140,6,760,735,0,
168,7,772,747,0,
196,8,210,185,0,
224,9,845,820,0,
252,10,573,548,0,
280,11,225,200,0,
308,12,874,849,0,
336,13,382,357,0,
364,14,524,499,0,
392,15,198,173,0,
420,16,867,842,0,
448,17,897,872,0,
476,18,30,5,0,
504,19,94,69,0,
532,20,423,398,0,
560,21,336,311,0,
588,22,799,774,0,
616,23,596,571,0,
644,24,680,655,0,
672,25,71,46,0,
700,26,754,729,0,
728,27,392,367,0,
756,1,906,881,0,
784,2,966,941,0,
812,3,658,633,0,
840,4,379,354,0,
868,5,904,879,0,
896,6,735,710,0,
924,7,747,722,0,
952,8,185,160,0,
980,9,820,795,0,
1008,10,548,523,0,
1036,11,200,175,0,
1064,12,849,824,0,
1092,13,357,332,0,
1120,14,499,474,0,
1148,15,173,148,0,
1176,16,842,817,0,
1204,17,872,847,0,
1232,18,5,0,1237,
1240,19,69,44,0,
1268,20,398,373,0,
1296,21,311,286,0,
1324,22,774,749,0,
1352,23,571,546,0,
1380,24,655,630,0,
1408,25,46,21,0,
1436,26,729,704,0,
1464,27,367,342,0,
1492,1,881,856,0,
1520,2,941,916,0,
1548,3,633,608,0,
1576,4,354,329,0,
1604,5,879,854,0,
1632,6,710,685,0,
1660,7,722,697,0,
1688,8,160,135,0,
1716,9,795,770,0,
1744,10,523,498,0,
1772,11,175,150,0,
1800,12,824,799,0,
1828,13,332,307,0,
1856,14,474,449,0,
1884,15,148,123,0,
1912,16,817,792,0,
1940,17,847,822,0,
1968,19,44,19,0,
1996,20,373,348,0,
2024,21,286,261,0,
2052,22,749,724,0,
2080,23,546,521,0,
2108,24,630,605,0,
2136,25,21,0,2157,
2160,26,704,679,0,
2188,27,342,317,0,
2216,1,856,831,0,
2244,2,916,891,0,
2272,3,608,583,0,
2300,4,329,304,0,
2328,5,854,829,0,
2356,6,685,660,0,
2384,7,697,672,0,
2412,8,135,110,0,
2440,9,770,745,0,
2468,10,498,473,0,
2496,11,150,125,0,
2524,12,799,774,0,
2552,13,307,282,0,
2580,14,449,424,0,
2608,15,123,98,0,
2636,16,792,767,0,
2664,17,822,797,0,
2692,19,19,0,2711,
2714,20,348,323,0,
2742,21,261,236,0,
2770,22,724,699,0,
2798,23,521,496,0,
2826,24,605,580,0,
2854,26,679,654,0,
2882,27,317,292,0,
2910,1,831,806,0,
2938,2,891,866,0,
2966,3,583,558,0,
2994,4,304,279,0,
3022,5,829,804,0,
3050,6,660,635,0,
3078,7,672,647,0,
3106,8,110,85,0,
3134,9,745,720,0,
3162,10,473,448,0,
3190,11,125,100,0,
3218,12,774,749,0,
3246,13,282,257,0,
3274,14,424,399,0,
3302,15,98,73,0,
3330,16,767,742,0,
3358,17,797,772,0,
3386,20,323,298,0,
3414,21,236,211,0,
3442,22,699,674,0,
3470,23,496,471,0,
3498,24,580,555,0,
3526,26,654,629,0,
3554,27,292,267,0,
3582,1,806,781,0,
3610,2,866,841,0,
3638,3,558,533,0,
3666,4,279,254,0,
3694,5,804,779,0,
3722,6,635,610,0,
3750,7,647,622,0,
3778,8,85,60,0,
3806,9,720,695,0,
3834,10,448,423,0,
3862,11,100,75,0,
3890,12,749,724,0,
3918,13,257,232,0,
3946,14,399,374,0,
3974,15,73,48,0,
4002,16,742,717,0,
4030,17,772,747,0,
4058,20,298,273,0,
4086,21,211,186,0,
4114,22,674,649,0,
4142,23,471,446,0,
4170,24,555,530,0,
4198,26,629,604,0,
4226,27,267,242,0,
4254,1,781,756,0,
4282,2,841,816,0,
4310,3,533,508,0,
4338,4,254,229,0,
4366,5,779,754,0,
4394,6,610,585,0,
4422,7,622,597,0,
4450,8,60,35,0,
4478,9,695,670,0,
4506,10,423,398,0,
4534,11,75,50,0,
4562,12,724,699,0,
4590,13,232,207,0,
4618,14,374,349,0,
4646,15,48,23,0,
4674,16,717,692,0,
4702,17,747,722,0,
4730,20,273,248,0,
4758,21,186,161,0,
4786,22,649,624,0,
4814,23,446,421,0,
4842,24,530,505,0,
4870,26,604,579,0,
4898,27,242,217,0,
4926,1,756,731,0,
4954,2,816,791,0,
4982,3,508,483,0,
5010,4,229,204,0,
5038,5,754,729,0,
5066,6,585,560,0,
5094,7,597,572,0,
5122,8,35,10,0,
5150,9,670,645,0,
5178,10,398,373,0,
5206,11,50,25,0,
5234,12,699,674,0,
5262,13,207,182,0,
5290,14,349,324,0,
5318,15,23,0,5341,
5344,16,692,667,0,
5372,17,722,697,0,
5400,20,248,223,0,
5428,21,161,136,0,
5456,22,624,599,0,
5484,23,421,396,0,
5512,24,505,480,0,
5540,26,579,554,0,
5568,27,217,192,0,
5596,1,731,706,0,
5624,2,791,766,0,
5652,3,483,458,0,
5680,4,204,179,0,
5708,5,729,704,0,
5736,6,560,535,0,
5764,7,572,547,0,
5792,8,10,0,5802,
5805,9,645,620,0,
5833,10,373,348,0,
5861,11,25,0,5886,
5889,12,674,649,0,
5917,13,182,157,0,
5945,14,324,299,0,
5973,16,667,642,0,
6001,17,697,672,0,
6029,20,223,198,0,
6057,21,136,111,0,
6085,22,599,574,0,
6113,23,396,371,0,
6141,24,480,455,0,
6169,26,554,529,0,
6197,27,192,167,0,
6225,1,706,681,0,
6253,2,766,741,0,
6281,3,458,433,0,
6309,4,179,154,0,
6337,5,704,679,0,
6365,6,535,510,0,
6393,7,547,522,0,
6421,9,620,595,0,
6449,10,348,323,0,
6477,12,649,624,0,
6505,13,157,132,0,
6533,14,299,274,0,
6561,16,642,617,0,
6589,17,672,647,0,
6617,20,198,173,0,
6645,21,111,86,0,
6673,22,574,549,0,
6701,23,371,346,0,
6729,24,455,430,0,
6757,26,529,504,0,
6785,27,167,142,0,
6813,1,681,656,0,
6841,2,741,716,0,
6869,3,433,408,0,
6897,4,154,129,0,
6925,5,679,654,0,
6953,6,510,485,0,
6981,7,522,497,0,
7009,9,595,570,0,
7037,10,323,298,0,
7065,12,624,599,0,
7093,13,132,107,0,
7121,14,274,249,0,
7149,16,617,592,0,
7177,17,647,622,0,
7205,20,173,148,0,
7233,21,86,61,0,
7261,22,549,524,0,
