CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,931,881,0,
53,2,991,941,0,
106,3,683,633,0,
159,4,404,354,0,
212,5,929,879,0,
265,6,760,710,0,
318,7,772,722,0,
371,8,210,160,0,
424,9,845,795,0,
477,10,573,523,0,
530,11,225,175,0,
583,12,874,824,0,
636,13,382,332,0,
689,14,524,474,0,
742,15,198,148,0,
795,16,867,817,0,
848,17,897,847,0,
901,18,30,0,931,
934,19,94,44,0,
987,20,423,373,0,
1040,21,336,286,0,
1093,22,799,749,0,
1146,23,596,546,0,
1199,24,680,630,0,
1252,25,71,21,0,
1305,26,754,704,0,
1358,27,392,342,0,
1411,1,881,831,0,
1464,2,941,891,0,
1517,3,633,583,0,
1570,4,354,304,0,
1623,5,879,829,0,
1676,6,710,660,0,
1729,7,722,672,0,
1782,8,160,110,0,
1835,9,795,745,0,
1888,10,523,473,0,
1941,11,175,125,0,
1994,12,824,774,0,
2047,13,332,282,0,
2100,14,474,424,0,
2153,15,148,98,0,
2206,16,817,767,0,
2259,17,847,797,0,
2312,19,44,0,2356,
2359,20,373,323,0,
2412,21,286,236,0,
2465,22,749,699,0,
2518,23,546,496,0,
2571,24,630,580,0,
2624,25,21,0,2645,
2648,26,704,654,0,
2701,27,342,292,0,
2754,1,831,781,0,
2807,2,891,841,0,
2860,3,583,533,0,
2913,4,304,254,0,
2966,5,829,779,0,
3019,6,660,610,0,
3072,7,672,622,0,
3125,8,110,60,0,
3178,9,745,695,0,
3231,10,473,423,0,
3284,11,125,75,0,
3337,12,774,724,0,
3390,13,282,232,0,
3443,14,424,374,0,
3496,15,98,48,0,
3549,16,767,717,0,
3602,17,797,747,0,
3655,20,323,273,0,
3708,21,236,186,0,
3761,22,699,649,0,
3814,23,496,446,0,
3867,24,580,530,0,
3920,26,654,604,0,
3973,27,292,242,0,
4026,1,781,731,0,
4079,2,841,791,0,
4132,3,533,483,0,
4185,4,254,204,0,
4238,5,779,729,0,
4291,6,610,560,0,
4344,7,622,572,0,
4397,8,60,10,0,
4450,9,695,645,0,
4503,10,423,373,0,
4556,11,75,25,0,
4609,12,724,674,0,
4662,13,232,182,0,
4715,14,374,324,0,
4768,15,48,0,4816,
4819,16,717,667,0,
4872,17,747,697,0,
4925,20,273,223,0,
4978,21,186,136,0,
5031,22,649,599,0,
5084,23,446,396,0,
5137,24,530,480,0,
5190,26,604,554,0,
5243,27,242,192,0,
5296,1,731,681,0,
5349,2,791,741,0,
5402,3,483,433,0,
5455,4,204,154,0,
5508,5,729,679,0,
5561,6,560,510,0,
5614,7,572,522,0,
5667,8,10,0,5677,
5680,9,645,595,0,
5733,10,373,323,0,
5786,11,25,0,5811,
5814,12,674,624,0,
5867,13,182,132,0,
5920,14,324,274,0,
5973,16,667,617,0,
6026,17,697,647,0,
6079,20,223,173,0,
6132,21,136,86,0,
6185,22,599,549,0,
6238,23,396,346,0,
6291,24,480,430,0,
6344,26,554,504,0,
6397,27,192,142,0,
6450,1,681,631,0,
6503,2,741,691,0,
6556,3,433,383,0,
6609,4,154,104,0,
6662,5,679,629,0,
6715,6,510,460,0,
6768,7,522,472,0,
6821,9,595,545,0,
6874,10,323,273,0,
6927,12,624,574,0,
6980,13,132,82,0,
7033,14,274,224,0,
7086,16,617,567,0,
7139,17,647,597,0,
7192,20,173,123,0,
7245,21,86,36,0,
7298,22,549,499,0,
7351,23,346,296,0,
7404,24,430,380,0,
7457,26,504,454,0,
7510,27,142,92,0,
7563,1,631,581,0,
7616,2,691,641,0,
7669,3,383,333,0,
7722,4,104,54,0,
7775,5,629,579,0,
7828,6,460,410,0,
7881,7,472,422,0,
7934,9,545,495,0,
7987,10,273,223,0,
8040,12,574,524,0,
8093,13,82,32,0,
8146,14,224,174,0,
8199,16,567,517,0,
8252,17,597,547,0,
8305,20,123,73,0,
8358,21,36,0,8394,
8397,22,499,449,0,
8450,23,296,246,0,
8503,24,380,330,0,
8556,26,454,404,0,
8609,27,92,42,0,
8662,1,581,531,0,
8715,2,641,591,0,
8768,3,333,283,0,
8821,4,54,4,0,
8874,5,579,529,0,
8927,6,410,360,0,
8980,7,422,372,0,
9033,9,495,445,0,
9086,10,223,173,0,
9139,12,524,474,0,
9192,13,32,0,9224,
9227,14,174,124,0,
9280,16,517,467,0,
9333,17,547,497,0,
9386,20,73,23,0,
9439,22,449,399,0,
9492,23,246,196,0,
9545,24,330,280,0,
9598,26,404,354,0,
9651,27,42,0,9693,
9696,1,531,481,0,
9749,2,591,541,0,
9802,3,283,233,0,
9855,4,4,0,9859,
9862,5,529,479,0,
9915,6,360,310,0,
9968,7,372,322,0,
10021,9,445,395,0,
10074,10,173,123,0,
10127,12,474,424,0,
10180,14,124,74,0,
10233,16,467,417,0,
10286,17,497,447,0,
10339,20,23,0,10362,
10365,22,399,349,0,
10418,23,196,146,0,
10471,24,280,230,0,
10524,26,354,304,0,
10577,1,481,431,0,
10630,2,541,491,0,
10683,3,233,183,0,
10736,5,479,429,0,
10789,6,310,260,0,
10842,7,322,272,0,
10895,9,395,345,0,
10948,10,123,73,0,
11001,12,424,374,0,
11054,14,74,24,0,
11107,16,417,367,0,
11160,17,447,397,0,
11213,22,349,299,0,
11266,23,146,96,0,
11319,24,230,180,0,
11372,26,304,254,0,
11425,1,431,381,0,
11478,2,491,441,0,
11531,3,183,133,0,
11584,5,429,379,0,
11637,6,260,210,0,
11690,7,272,222,0,
11743,9,345,295,0,
11796,10,73,23,0,
11849,12,374,324,0,
11902,14,24,0,11926,
11929,16,367,317,0,
11982,17,397,347,0,
12035,22,299,249,0,
12088,23,96,46,0,
12141,24,180,130,0,
12194,26,254,204,0,
12247,1,381,331,0,
12300,2,441,391,0,
12353,3,133,83,0,
12406,5,379,329,0,
12459,6,210,160,0,
12512,7,222,172,0,
12565,9,295,245,0,
12618,10,23,0,12641,
12644,12,324,274,0,
12697,16,317,267,0,
12750,17,347,297,0,
12803,22,249,199,0,
12856,23,46,0,12902,
12905,24,130,80,0,
12958,26,204,154,0,
13011,1,331,281,0,
13064,2,391,341,0,
13117,3,83,33,0,
13170,5,329,279,0,
13223,6,160,110,0,
13276,7,172,122,0,
13329,9,245,195,0,
13382,12,274,224,0,
13435,16,267,217,0,
13488,17,297,247,0,
13541,22,199,149,0,
13594,24,80,30,0,
13647,26,154,104,0,
13700,1,281,231,0,
13753,2,341,291,0,
13806,3,33,0,13839,
13842,5,279,229,0,
13895,6,110,60,0,
13948,7,122,72,0,
14001,9,195,145,0,
14054,12,224,174,0,
14107,16,217,167,0,
14160,17,247,197,0,
14213,22,149,99,0,
14266,24,30,0,14296,
14299,26,104,54,0,
14352,1,231,181,0,
14405,2,291,241,0,
14458,5,229,179,0,
14511,6,60,10,0,
14564,7,72,22,0,
14617,9,145,95,0,
14670,12,174,124,0,
14723,16,167,117,0,
14776,17,197,147,0,
14829,22,99,49,0,
14882,26,54,4,0,
14935,1,181,131,0,
14988,2,241,191,0,
15041,5,179,129,0,
