CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,8,615,565,0
53,4,633,583,0
106,10,702,652,0
159,7,422,372,0
212,12,969,919,0
265,14,764,714,0
318,14,714,664,0
371,12,919,869,0
424,3,992,942,0
477,11,942,892,0
530,9,695,645,0
583,19,271,221,0
636,7,372,322,0
689,19,221,171,0
742,1,585,535,0
795,1,535,485,0
848,16,103,53,0
901,19,171,121,0
954,19,121,71,0
1007,10,652,602,0
1060,8,565,515,0
1113,10,602,552,0
1166,5,827,777,0
1219,4,583,533,0
1272,19,71,21,0
1325,2,972,922,0
1378,8,515,465,0
1431,17,364,314,0
1484,13,955,905,0
1537,14,664,614,0
1590,7,322,272,0
1643,7,272,222,0
1696,18,346,296,0
1749,7,222,172,0
1802,16,53,3,0
1855,1,485,435,0
1908,15,589,539,0
1961,8,465,415,0
2014,6,306,256,0
2067,8,415,365,0
2120,7,172,122,0
2173,7,122,72,0
2226,11,892,842,0
2279,10,552,502,0
2332,7,72,22,0
2385,11,842,792,0
2438,14,614,564,0
2491,3,942,892,0
2544,11,792,742,0
2597,11,742,692,0
2650,4,533,483,0
2703,2,922,872,0
2756,8,365,315,0
2809,3,892,842,0
2862,7,22,0,2884
2887,11,692,642,0
2940,12,869,819,0
2993,13,905,855,0
3046,15,539,489,0
3099,15,489,439,0
3152,16,3,0,3155
3158,17,314,264,0
3211,14,564,514,0
3264,11,642,592,0
3317,19,21,0,3338
3341,1,435,385,0
3394,13,855,805,0
3447,17,264,214,0
3500,3,842,792,0
3553,14,514,464,0
3606,11,592,542,0
3659,8,315,265,0
3712,8,265,215,0
3765,18,296,246,0
3818,3,792,742,0
3871,4,483,433,0
3924,10,502,452,0
3977,14,464,414,0
4030,15,439,389,0
4083,2,872,822,0
4136,14,414,364,0
4189,6,256,206,0
4242,14,364,314,0
4295,1,385,335,0
4348,8,215,165,0
4401,11,542,492,0
4454,14,314,264,0
4507,12,819,769,0
4560,11,492,442,0
4613,11,442,392,0
4666,5,777,727,0
4719,2,822,772,0
4772,8,165,115,0
4825,4,433,383,0
4878,8,115,65,0
4931,12,769,719,0
4984,15,389,339,0
5037,8,65,15,0
5090,4,383,333,0
5143,11,392,342,0
5196,15,339,289,0
5249,11,342,292,0
5302,11,292,242,0
5355,2,772,722,0
5408,5,727,677,0
5461,10,452,402,0
5514,6,206,156,0
5567,2,722,672,0
5620,12,719,669,0
5673,6,156,106,0
5726,15,289,239,0
5779,11,242,192,0
5832,3,742,692,0
5885,4,333,283,0
5938,8,15,0,5953
5956,5,677,627,0
6009,6,106,56,0
6062,11,192,142,0
6115,3,692,642,0
6168,14,264,214,0
6221,4,283,233,0
6274,11,142,92,0
6327,4,233,183,0
6380,15,239,189,0
6433,17,214,164,0
6486,18,246,196,0
6539,15,189,139,0
6592,14,214,164,0
6645,14,164,114,0
6698,6,56,6,0
6751,4,183,133,0
6804,11,92,42,0
6857,2,672,622,0
6910,2,622,572,0
6963,17,164,114,0
7016,18,196,146,0
7069,17,114,64,0
7122,4,133,83,0
7175,14,114,64,0
7228,14,64,14,0
7281,14,14,0,7295
7298,10,402,352,0
7351,15,139,89,0
7404,5,627,577,0
7457,10,352,302,0
7510,13,805,755,0
7563,2,572,522,0
7616,12,669,619,0
7669,13,755,705,0
7722,17,64,14,0
7775,17,14,0,7789
7792,5,577,527,0
7845,15,89,39,0
7898,15,39,0,7937
7940,5,527,477,0
7993,10,302,252,0
8046,4,83,33,0
8099,18,146,96,0
8152,3,642,592,0
8205,12,619,569,0
8258,12,569,519,0
8311,11,42,0,8353
8356,18,96,46,0
8409,2,522,472,0
8462,4,33,0,8495
8498,12,519,469,0
8551,12,469,419,0
8604,6,6,0,8610
8613,13,705,655,0
8666,18,46,0,8712
8715,2,472,422,0
8768,13,655,605,0
8821,9,645,595,0
8874,12,419,369,0
8927,3,592,542,0
8980,5,477,427,0
9033,5,427,377,0
9086,12,369,319,0
9139,10,252,202,0
9192,12,319,269,0
9245,13,605,555,0
9298,2,422,372,0
9351,2,372,322,0
9404,2,322,272,0
9457,10,202,152,0
9510,2,272,222,0
9563,12,269,219,0
9616,13,555,505,0
9669,5,377,327,0
9722,2,222,172,0
9775,13,505,455,0
9828,2,172,122,0
9881,3,542,492,0
9934,12,219,169,0
9987,10,152,102,0
10040,13,455,405,0
10093,2,122,72,0
10146,10,102,52,0
10199,2,72,22,0
10252,3,492,442,0
10305,2,22,0,10327
10330,12,169,119,0
10383,5,327,277,0
10436,12,119,69,0
10489,5,277,227,0
10542,10,52,2,0
10595,1,335,285,0
10648,1,285,235,0
10701,12,69,19,0
10754,5,227,177,0
10807,9,595,545,0
10860,13,405,355,0
10913,12,19,0,10932
10935,5,177,127,0
10988,5,127,77,0
11041,10,2,0,11043
11046,13,355,305,0
11099,13,305,255,0
11152,13,255,205,0
11205,5,77,27,0
11258,5,27,0,11285
11288,13,205,155,0
11341,1,235,185,0
11394,13,155,105,0
11447,1,185,135,0
11500,1,135,85,0
11553,1,85,35,0
11606,3,442,392,0
11659,13,105,55,0
11712,1,35,0,11747
11750,13,55,5,0
11803,13,5,0,11808
11811,3,392,342,0
11864,3,342,292,0
11917,3,292,242,0
11970,3,242,192,0
12023,3,192,142,0
12076,3,142,92,0
12129,9,545,495,0
12182,3,92,42,0
12235,3,42,0,12277
12280,9,495,445,0
12333,9,445,395,0
12386,9,395,345,0
12439,9,345,295,0
12492,9,295,245,0
12545,9,245,195,0
12598,9,195,145,0
12651,9,145,95,0
12704,9,95,45,0
12757,9,45,0,12802
