CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,2,991,941,0
53,21,336,286,0
106,16,867,817,0
159,10,573,523,0
212,24,680,630,0
265,24,630,580,0
318,1,931,881,0
371,22,799,749,0
424,2,941,891,0
477,21,286,236,0
530,18,30,0,560
563,14,524,474,0
616,1,881,831,0
669,27,392,342,0
722,14,474,424,0
775,16,817,767,0
828,20,423,373,0
881,15,198,148,0
934,6,760,710,0
987,6,710,660,0
1040,2,891,841,0
1093,15,148,98,0
1146,20,373,323,0
1199,2,841,791,0
1252,7,772,722,0
1305,10,523,473,0
1358,20,323,273,0
1411,24,580,530,0
1464,13,382,332,0
1517,23,596,546,0
1570,22,749,699,0
1623,2,791,741,0
1676,5,929,879,0
1729,27,342,292,0
1782,9,845,795,0
1835,10,473,423,0
1888,4,404,354,0
1941,14,424,374,0
1994,6,660,610,0
2047,2,741,691,0
2100,20,273,223,0
2153,21,236,186,0
2206,16,767,717,0
2259,22,699,649,0
2312,21,186,136,0
2365,15,98,48,0
2418,20,223,173,0
2471,27,292,242,0
2524,11,225,175,0
2577,16,717,667,0
2630,16,667,617,0
2683,11,175,125,0
2736,11,125,75,0
2789,27,242,192,0
2842,9,795,745,0
2895,1,831,781,0
2948,16,617,567,0
3001,21,136,86,0
3054,26,754,704,0
3107,13,332,282,0
3160,2,691,641,0
3213,24,530,480,0
3266,2,641,591,0
3319,4,354,304,0
3372,11,75,25,0
3425,27,192,142,0
3478,11,25,0,3503
3506,8,210,160,0
3559,15,48,0,3607
3610,6,610,560,0
3663,10,423,373,0
3716,16,567,517,0
3769,22,649,599,0
3822,1,781,731,0
3875,22,599,549,0
3928,2,591,541,0
3981,2,541,491,0
4034,25,71,21,0
4087,6,560,510,0
4140,21,86,36,0
4193,24,480,430,0
4246,24,430,380,0
4299,16,517,467,0
4352,25,21,0,4373
4376,21,36,0,4412
4415,16,467,417,0
4468,12,874,824,0
4521,24,380,330,0
4574,2,491,441,0
4627,27,142,92,0
4680,16,417,367,0
4733,27,92,42,0
4786,6,510,460,0
4839,6,460,410,0
4892,10,373,323,0
4945,14,374,324,0
4998,23,546,496,0
5051,2,441,391,0
5104,23,496,446,0
5157,9,745,695,0
5210,17,897,847,0
5263,12,824,774,0
5316,9,695,645,0
5369,16,367,317,0
5422,16,317,267,0
5475,22,549,499,0
5528,24,330,280,0
5581,20,173,123,0
5634,9,645,595,0
5687,5,879,829,0
5740,8,160,110,0
5793,6,410,360,0
5846,22,499,449,0
5899,27,42,0,5941
5944,20,123,73,0
5997,2,391,341,0
6050,6,360,310,0
6103,8,110,60,0
6156,16,267,217,0
6209,24,280,230,0
6262,2,341,291,0
6315,16,217,167,0
6368,24,230,180,0
6421,12,774,724,0
6474,3,683,633,0
6527,23,446,396,0
6580,2,291,241,0
6633,16,167,117,0
6686,4,304,254,0
6739,8,60,10,0
6792,10,323,273,0
6845,2,241,191,0
6898,24,180,130,0
6951,8,10,0,6961
6964,20,73,23,0
7017,24,130,80,0
7070,12,724,674,0
7123,23,396,346,0
7176,1,731,681,0
7229,13,282,232,0
7282,22,449,399,0
7335,10,273,223,0
7388,9,595,545,0
7441,12,674,624,0
7494,16,117,67,0
7547,3,633,583,0
7600,16,67,17,0
7653,2,191,141,0
7706,9,545,495,0
7759,22,399,349,0
7812,23,346,296,0
7865,16,17,0,7882
7885,22,349,299,0
7938,17,847,797,0
7991,22,299,249,0
8044,24,80,30,0
8097,1,681,631,0
8150,10,223,173,0
8203,2,141,91,0
8256,3,583,533,0
8309,20,23,0,8332
8335,24,30,0,8365
8368,22,249,199,0
8421,5,829,779,0
8474,1,631,581,0
8527,2,91,41,0
8580,2,41,0,8621
8624,12,624,574,0
8677,1,581,531,0
8730,10,173,123,0
8783,10,123,73,0
8836,10,73,23,0
8889,10,23,0,8912
8915,1,531,481,0
8968,22,199,149,0
9021,14,324,274,0
9074,7,722,672,0
9127,3,533,483,0
9180,9,495,445,0
9233,1,481,431,0
9286,3,483,433,0
9339,3,433,383,0
9392,22,149,99,0
9445,12,574,524,0
9498,23,296,246,0
9551,13,232,182,0
9604,22,99,49,0
9657,1,431,381,0
9710,6,310,260,0
9763,22,49,0,9812
9815,12,524,474,0
9868,13,182,132,0
9921,9,445,395,0
9974,4,254,204,0
10027,13,132,82,0
10080,3,383,333,0
10133,9,395,345,0
10186,1,381,331,0
10239,9,345,295,0
10292,1,331,281,0
10345,6,260,210,0
10398,1,281,231,0
10451,1,231,181,0
10504,1,181,131,0
10557,6,210,160,0
10610,3,333,283,0
10663,14,274,224,0
10716,3,283,233,0
10769,14,224,174,0
10822,1,131,81,0
10875,23,246,196,0
10928,4,204,154,0
10981,3,233,183,0
11034,5,779,729,0
11087,6,160,110,0
11140,23,196,146,0
11193,19,94,44,0
11246,14,174,124,0
11299,23,146,96,0
11352,1,81,31,0
11405,1,31,0,11436
11439,3,183,133,0
11492,13,82,32,0
11545,6,110,60,0
11598,23,96,46,0
11651,5,729,679,0
11704,12,474,424,0
11757,9,295,245,0
11810,3,133,83,0
11863,9,245,195,0
11916,23,46,0,11962
11965,3,83,33,0
12018,12,424,374,0
12071,19,44,0,12115
12118,12,374,324,0
12171,3,33,0,12204
12207,6,60,10,0
12260,4,154,104,0
12313,7,672,622,0
12366,14,124,74,0
12419,4,104,54,0
12472,6,10,0,12482
12485,14,74,24,0
12538,12,324,274,0
12591,5,679,629,0
12644,13,32,0,12676
12679,9,195,145,0
12732,12,274,224,0
12785,7,622,572,0
12838,26,704,654,0
12891,4,54,4,0
12944,14,24,0,12968
12971,17,797,747,0
13024,26,654,604,0
13077,5,629,579,0
13130,26,604,554,0
13183,17,747,697,0
13236,9,145,95,0
13289,4,4,0,13293
13296,12,224,174,0
13349,9,95,45,0
13402,12,174,124,0
13455,12,124,74,0
13508,12,74,24,0
13561,12,24,0,13585
13588,9,45,0,13633
13636,26,554,504,0
13689,17,697,647,0
13742,5,579,529,0
13795,17,647,597,0
13848,26,504,454,0
13901,7,572,522,0
13954,5,529,479,0
14007,7,522,472,0
14060,17,597,547,0
14113,5,479,429,0
14166,17,547,497,0
14219,5,429,379,0
14272,26,454,404,0
14325,7,472,422,0
14378,26,404,354,0
14431,26,354,304,0
14484,17,497,447,0
14537,17,447,397,0
14590,17,397,347,0
14643,7,422,372,0
14696,7,372,322,0
14749,26,304,254,0
14802,26,254,204,0
14855,26,204,154,0
14908,7,322,272,0
14961,5,379,329,0
15014,5,329,279,0
15067,26,154,104,0
15120,26,104,54,0
15173,26,54,4,0
15226,7,272,222,0
15279,7,222,172,0
15332,5,279,229,0
15385,26,4,0,15389
15392,7,172,122,0
15445,17,347,297,0
15498,7,122,72,0
15551,7,72,22,0
15604,5,229,179,0
15657,17,297,247,0
15710,17,247,197,0
15763,7,22,0,15785
15788,17,197,147,0
15841,5,179,129,0
15894,17,147,97,0
15947,17,97,47,0
16000,17,47,0,16047
16050,5,129,79,0
16103,5,79,29,0
16156,5,29,0,16185
